sample,total.transformations
Sample_S19S_0003_Wat,27190
Sample_S19S_0004_Wat,34463
Sample_S19S_0005_Wat,33129
Sample_S19S_0006_Wat,31602
Sample_S19S_0007_Wat,18501
Sample_S19S_0008_Wat,23677
Sample_S19S_0010_Wat,36548
Sample_S19S_0011_Wat,39117
Sample_S19S_0012_Wat,31402
Sample_S19S_0013_Wat,36676
Sample_S19S_0014_Wat,18539
Sample_S19S_0015_Wat,37220
Sample_S19S_0016_Wat,15707
Sample_S19S_0017_Wat,34918
Sample_S19S_0020_Wat,39201
Sample_S19S_0021_Wat,40324
Sample_S19S_0022_Wat,23445
Sample_S19S_0023_Wat,31771
Sample_S19S_0025_Wat,29657
Sample_S19S_0026_Wat,19502
Sample_S19S_0027_Wat,23963
Sample_S19S_0028_Wat,20475
Sample_S19S_0031_Wat,12939
Sample_S19S_0032_Wat,29407
Sample_S19S_0034_Wat,23482
Sample_S19S_0035_Wat,29761
Sample_S19S_0036_Wat,28592
Sample_S19S_0038_Wat,13427
Sample_S19S_0039_Wat,47666
Sample_S19S_0041_Wat,22034
Sample_S19S_0042_Wat,33806
Sample_S19S_0043_Wat,27079
Sample_S19S_0044_Wat,30424
Sample_S19S_0045_Wat,36304
Sample_S19S_0047_Wat,29313
Sample_S19S_0048_Wat,5023
Sample_S19S_0049_Wat,12818
Sample_S19S_0050_Wat,27571
Sample_S19S_0051_Wat,27534
Sample_S19S_0052_Wat,26915
Sample_S19S_0053_Wat,40806
Sample_S19S_0054_Wat,27743
Sample_S19S_0055_Wat,40173
Sample_S19S_0057_Wat,33074
Sample_S19S_0058_Wat,19649
Sample_S19S_0059_Wat,29995
Sample_S19S_0060_Wat,29704
Sample_S19S_0061_Wat,35236
Sample_S19S_0062_Wat,32655
Sample_S19S_0063_Wat,38706
Sample_S19S_0064_Wat,29645
Sample_S19S_0065_Wat,33215
Sample_S19S_0067_Wat,36158
Sample_S19S_0068_Wat,9420
Sample_S19S_0069_Wat,19151
Sample_S19S_0070_Wat,24865
Sample_S19S_0071_Wat,20299
Sample_S19S_0072_Wat,29893
Sample_S19S_0073_Wat,37927
Sample_S19S_0074_Wat,30340
Sample_S19S_0075_Wat,23337
Sample_S19S_0076_Wat,33664
Sample_S19S_0077_Wat,22256
Sample_S19S_0078_Wat,32446
Sample_S19S_0079_Wat,34711
Sample_S19S_0081_Wat,37121
Sample_S19S_0082_Wat,33166
Sample_S19S_0083_Wat,39122
Sample_S19S_0084_Wat,21372
Sample_S19S_0085_Wat,11862
Sample_S19S_0087_Wat,33167
Sample_S19S_0089_Wat,42829
Sample_S19S_0092_Wat,34490
Sample_S19S_0093_Wat,31064
Sample_S19S_0094_Wat,27139
Sample_S19S_0097_Wat,26821
Sample_S19S_0098_Wat,20229
Sample_S19S_0099_Wat,35718
